unidad,a,a1,b,c,c1,d,e,f,g,total_general,total_calc,_total,prop_a,prop_a1,prop_b,prop_c,prop_c1,prop_d,prop_e,prop_f,prop_g,prob_top
MANABÍ,3607,171,14749,2202,15,1046,4487,89,180,26546,26546,26546,0.135877,0.006442,0.555602,0.08295,0.000565,0.039403,0.169027,0.003353,0.006781,0.8883333333333333
Total general,11348,221,65958,12833,86,4616,21216,487,1235,118000,118000,118000,0.096169,0.001873,0.558966,0.108754,0.000729,0.039119,0.179797,0.004127,0.010466,0.8483333333333334
LOS RÍOS,1146,14,5958,922,3,427,1942,44,69,10525,10525,10525,0.108884,0.00133,0.566081,0.087601,0.000285,0.04057,0.184513,0.004181,0.006556,0.8416666666666667
ESMERALDAS,1078,20,3601,819,1,362,1563,32,70,7546,7546,7546,0.142857,0.00265,0.477206,0.108534,0.000133,0.047972,0.20713,0.004241,0.009276,0.8216666666666667
ORELLANA,925,0,1433,838,2,260,1280,11,151,4900,4900,4900,0.188776,0.0,0.292449,0.17102,0.000408,0.053061,0.261224,0.002245,0.030816,0.6616666666666666
CAÑAR,137,2,1756,340,0,115,468,6,14,2838,2838,2838,0.048273,0.000705,0.618746,0.119803,0.0,0.040521,0.164905,0.002114,0.004933,0.28
PICHINCHA,467,0,5199,686,21,253,1396,100,17,8139,8139,8139,0.057378,0.0,0.638776,0.084286,0.00258,0.031085,0.17152,0.012287,0.002089,0.22166666666666668
TUNGURAHUA,22,0,287,81,2,23,80,20,2,517,517,517,0.042553,0.0,0.555126,0.156673,0.003868,0.044487,0.154739,0.038685,0.003868,0.22
GUAYAS,1265,13,18756,1496,31,636,4041,75,318,26631,26631,26631,0.047501,0.000488,0.704292,0.056175,0.001164,0.023882,0.15174,0.002816,0.011941,0.20833333333333334
COTOPAXI,99,1,428,206,1,39,205,5,14,998,998,998,0.099198,0.001002,0.428858,0.206413,0.001002,0.039078,0.205411,0.00501,0.014028,0.18833333333333332
SANTO DOMINGO DE LOS TSÁCHILAS,342,0,1530,450,2,258,1239,5,41,3867,3867,3867,0.088441,0.0,0.395656,0.116369,0.000517,0.066718,0.320403,0.001293,0.010603,0.15333333333333332
NAPO,437,0,1149,539,1,157,490,0,78,2851,2851,2851,0.15328,0.0,0.403016,0.189056,0.000351,0.055068,0.17187,0.0,0.027359,0.14666666666666667
SANTA ELENA,271,0,1871,277,3,105,457,11,17,3012,3012,3012,0.089973,0.0,0.621182,0.091965,0.000996,0.034861,0.151726,0.003652,0.005644,0.14666666666666667
EL ORO,493,0,1869,606,1,120,478,13,26,3606,3606,3606,0.136717,0.0,0.518303,0.168053,0.000277,0.033278,0.132557,0.003605,0.00721,0.12166666666666667
LOJA,52,0,458,182,0,42,213,6,33,986,986,986,0.052738,0.0,0.464503,0.184584,0.0,0.042596,0.216024,0.006085,0.033469,0.11333333333333333
IMBABURA,66,0,586,180,0,38,154,13,2,1039,1039,1039,0.063523,0.0,0.564004,0.173244,0.0,0.036574,0.148219,0.012512,0.001925,0.105
SUCUMBÍOS,89,0,132,104,0,17,102,7,5,456,456,456,0.195175,0.0,0.289474,0.22807,0.0,0.037281,0.223684,0.015351,0.010965,0.10166666666666667
ZAMORA CHINCHIPE,11,0,116,99,0,27,81,2,18,354,354,354,0.031073,0.0,0.327684,0.279661,0.0,0.076271,0.228814,0.00565,0.050847,0.075
GALÁPAGOS,127,0,168,67,0,12,54,0,2,430,430,430,0.295349,0.0,0.390698,0.155814,0.0,0.027907,0.125581,0.0,0.004651,0.065
CARCHI,25,0,332,129,0,48,196,0,2,732,732,732,0.034153,0.0,0.453552,0.17623,0.0,0.065574,0.26776,0.0,0.002732,0.051666666666666666
CHIMBORAZO,60,0,976,439,3,121,362,8,16,1985,1985,1985,0.030227,0.0,0.491688,0.221159,0.001511,0.060957,0.182368,0.00403,0.00806,0.04666666666666667
PASTAZA,189,0,1437,614,0,172,511,7,58,2988,2988,2988,0.063253,0.0,0.480924,0.205489,0.0,0.057564,0.171017,0.002343,0.019411,0.04
MORONA SANTIAGO,168,0,857,431,0,131,433,4,29,2053,2053,2053,0.081831,0.0,0.417438,0.209937,0.0,0.063809,0.210911,0.001948,0.014126,0.03333333333333333
AZUAY,99,0,993,460,0,32,315,27,30,1956,1956,1956,0.050613,0.0,0.507669,0.235174,0.0,0.01636,0.161043,0.013804,0.015337,0.023333333333333334
BOLIVAR,173,0,1317,666,0,175,669,2,43,3045,3045,3045,0.056814,0.0,0.432512,0.218719,0.0,0.057471,0.219704,0.000657,0.014122,0.01
